id,owner_id,location,item_id,item_count,is_equipped,enchant_level,is_identified,durability,charge_count,charge_time,expiration_time,last_used,is_sealed,is_protected,attr_enchant_kind,attr_enchant_level,ac,str,con,dex,wis,cha,int,hp,hpr,mp,mpr,mr,sp,hit_modifier,dmg_modifier,bow_hit_modifier,bow_dmg_modifier,defense_earth,defense_water,defense_fire,defense_wind,resist_stun,resist_stone,resist_sleep,resist_freeze,resist_hold,resist_blind,exp_bonus,is_haste,can_be_dmg,is_unique,porion_recovery_rate
268478056,268478055,0,7,1,1,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
268478057,268478055,0,35,1,0,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
268478058,268478055,0,48,1,0,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
268478059,268478055,0,105,1,0,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
268478060,268478055,0,147,1,0,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268478061,268478055,0,20082,1,0,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268478062,268478055,0,20126,1,0,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268478063,268478055,0,21168,1,0,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268478064,268478055,0,20028,1,0,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268478065,268478055,0,20232,1,0,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268478066,268478055,0,20173,1,0,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268478067,268478055,0,20206,1,0,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268478068,268478055,0,21169,1,0,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268478069,268478055,0,21223,1,0,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268478070,268478055,0,21224,1,0,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268478071,268478055,0,21225,1,0,0,0,0,0,0,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
